customer_id,customer_code,pseudonymised_name,pseudonymised_email,region,customer_tier,created_at
1,"CUST-00001","Client_Hash_fc1ba68a594010f2","usr_d820b1c724e25df1@anon.sme","Bristol","Platinum","2024-01-15 10:00:00"
2,"CUST-00002","Client_Hash_5a3b6b853cd87aee","usr_b584ddfbed64c658@anon.sme","Glasgow","Platinum","2024-01-15 10:00:00"
3,"CUST-00003","Client_Hash_c26e5a8807261164","usr_33e153ddcb4bb0d8@anon.sme","London","Platinum","2024-01-15 10:00:00"
4,"CUST-00004","Client_Hash_ff6f555c74999bc1","usr_12726d0f19e40c20@anon.sme","Manchester","Gold","2024-01-15 10:00:00"
5,"CUST-00005","Client_Hash_3035516b6e8e5f77","usr_bcc83b175fe31722@anon.sme","Birmingham","Platinum","2024-01-15 10:00:00"
6,"CUST-00006","Client_Hash_e779c8327d6e6c95","usr_fda39d3add5dc4f2@anon.sme","Leeds","Silver","2024-01-15 10:00:00"
7,"CUST-00007","Client_Hash_c3523da64bf4f02a","usr_27ef6f3ba9a2a96e@anon.sme","Glasgow","Gold","2024-01-15 10:00:00"
8,"CUST-00008","Client_Hash_64cf3a2ac4184f84","usr_d42eba143438bd19@anon.sme","Edinburgh","Silver","2024-01-15 10:00:00"
9,"CUST-00009","Client_Hash_584a91f720273602","usr_b7c98dcfc2398bc9@anon.sme","Glasgow","Standard","2024-01-15 10:00:00"
10,"CUST-00010","Client_Hash_12b4961ab45cdf84","usr_c33f19575f2b43c0@anon.sme","London","Gold","2024-01-15 10:00:00"
11,"CUST-00011","Client_Hash_752392a1504cd946","usr_2d7992413035cf83@anon.sme","London","Silver","2024-01-15 10:00:00"
12,"CUST-00012","Client_Hash_b89a27f978d4b4c8","usr_9514468e15434219@anon.sme","Leeds","Standard","2024-01-15 10:00:00"
13,"CUST-00013","Client_Hash_0b6502df00210b62","usr_3ab0d55fc2d9c1bf@anon.sme","Leeds","Gold","2024-01-15 10:00:00"
14,"CUST-00014","Client_Hash_d96dd318e4a75aa4","usr_2f7f32bc3b103897@anon.sme","London","Standard","2024-01-15 10:00:00"
15,"CUST-00015","Client_Hash_560fbd5efad07022","usr_71fabbb67bce19a7@anon.sme","Leeds","Gold","2024-01-15 10:00:00"
16,"CUST-00016","Client_Hash_6ae6e6452bf63139","usr_a6ed7634024faa5e@anon.sme","Birmingham","Gold","2024-01-15 10:00:00"
17,"CUST-00017","Client_Hash_197afb4ccdfaf618","usr_eb58a8bd41f32d4f@anon.sme","Leeds","Standard","2024-01-15 10:00:00"
18,"CUST-00018","Client_Hash_f2fa20b6de905582","usr_4a5e5955d4be467d@anon.sme","Glasgow","Platinum","2024-01-15 10:00:00"
19,"CUST-00019","Client_Hash_badc08b16dab550f","usr_8e4e173996791398@anon.sme","London","Gold","2024-01-15 10:00:00"
20,"CUST-00020","Client_Hash_b72a1e88bb8f6622","usr_e4207c7cf1c5eacf@anon.sme","Birmingham","Silver","2024-01-15 10:00:00"
21,"CUST-00021","Client_Hash_91738b6c0e4a75a8","usr_33e48ca8672ae868@anon.sme","Glasgow","Silver","2024-01-15 10:00:00"
22,"CUST-00022","Client_Hash_b153d4fce230fa82","usr_10803fcf52b506c5@anon.sme","Leeds","Gold","2024-01-15 10:00:00"
23,"CUST-00023","Client_Hash_87c4469e9dc8dcf6","usr_420f056f433df6d1@anon.sme","Birmingham","Gold","2024-01-15 10:00:00"
24,"CUST-00024","Client_Hash_ce4bfd404e62e4f8","usr_02285c264f479a82@anon.sme","Manchester","Silver","2024-01-15 10:00:00"
25,"CUST-00025","Client_Hash_59b40522003756d6","usr_31ab225390d9d6f7@anon.sme","Birmingham","Platinum","2024-01-15 10:00:00"
26,"CUST-00026","Client_Hash_5cb7df805453da90","usr_f0484750c364730f@anon.sme","Edinburgh","Platinum","2024-01-15 10:00:00"
27,"CUST-00027","Client_Hash_16db71462a9853ea","usr_e1017737edb655d8@anon.sme","Edinburgh","Silver","2024-01-15 10:00:00"
28,"CUST-00028","Client_Hash_5f5c6f4eb5a83278","usr_f850e0856ea9c21f@anon.sme","Glasgow","Silver","2024-01-15 10:00:00"
29,"CUST-00029","Client_Hash_b5af154744251292","usr_6f4c9669561fe344@anon.sme","Manchester","Standard","2024-01-15 10:00:00"
30,"CUST-00030","Client_Hash_dac43e457f48aafc","usr_82f55b40ca6e7544@anon.sme","Leeds","Standard","2024-01-15 10:00:00"
31,"CUST-00031","Client_Hash_af763e58805dd2ee","usr_c46fccee21f288dc@anon.sme","Bristol","Silver","2024-01-15 10:00:00"
32,"CUST-00032","Client_Hash_9c6440030bbe0c08","usr_009edcb371fae36f@anon.sme","Bristol","Standard","2024-01-15 10:00:00"
33,"CUST-00033","Client_Hash_a91f57a122e744f8","usr_3dfcac75920ceb3c@anon.sme","Manchester","Gold","2024-01-15 10:00:00"
34,"CUST-00034","Client_Hash_9e187351f0545972","usr_2792bf68e9ceb936@anon.sme","Glasgow","Standard","2024-01-15 10:00:00"
35,"CUST-00035","Client_Hash_a4fb00a46b503a23","usr_a2742cb1dd7d0a4d@anon.sme","Leeds","Platinum","2024-01-15 10:00:00"
36,"CUST-00036","Client_Hash_fec05a01b828717c","usr_c1399afaf31f6cf6@anon.sme","London","Standard","2024-01-15 10:00:00"
37,"CUST-00037","Client_Hash_28bf7e737d8a4e6b","usr_18d825e5df575e4b@anon.sme","Birmingham","Silver","2024-01-15 10:00:00"
38,"CUST-00038","Client_Hash_a429023bc7dd1f69","usr_93a10012f309c336@anon.sme","Manchester","Platinum","2024-01-15 10:00:00"
39,"CUST-00039","Client_Hash_8a482756d601bd9f","usr_438cf2d796153ce8@anon.sme","London","Standard","2024-01-15 10:00:00"
40,"CUST-00040","Client_Hash_1dff31506174530c","usr_b7a982560eb808e7@anon.sme","Bristol","Gold","2024-01-15 10:00:00"
41,"CUST-00041","Client_Hash_cf2315f9df6213bf","usr_4699962cc5c9fadf@anon.sme","Leeds","Platinum","2024-01-15 10:00:00"
42,"CUST-00042","Client_Hash_37024f44aba15186","usr_07612450c76a6e35@anon.sme","Manchester","Platinum","2024-01-15 10:00:00"
43,"CUST-00043","Client_Hash_39e193793b38d88d","usr_0da6d2338aff84fe@anon.sme","Bristol","Platinum","2024-01-15 10:00:00"
44,"CUST-00044","Client_Hash_d9167c1f24f1e4b2","usr_620e62ca7a0ea7f9@anon.sme","Edinburgh","Standard","2024-01-15 10:00:00"
45,"CUST-00045","Client_Hash_acef939c48bad715","usr_ed0806d83c8c99be@anon.sme","Leeds","Standard","2024-01-15 10:00:00"
46,"CUST-00046","Client_Hash_97c551cb558d3d58","usr_abd2bb1cff760353@anon.sme","Bristol","Platinum","2024-01-15 10:00:00"
47,"CUST-00047","Client_Hash_425e0455e2bc9ca9","usr_1f7b140e0dc181db@anon.sme","Bristol","Gold","2024-01-15 10:00:00"
48,"CUST-00048","Client_Hash_3ed1c82bdca82a2b","usr_7998be8a5cf74b5d@anon.sme","London","Standard","2024-01-15 10:00:00"
49,"CUST-00049","Client_Hash_8785a4598b1312d8","usr_12e1316ec6486ebf@anon.sme","Manchester","Gold","2024-01-15 10:00:00"
50,"CUST-00050","Client_Hash_a59b78eb5990b0bb","usr_ee78bf01c022ef2d@anon.sme","Manchester","Silver","2024-01-15 10:00:00"
51,"CUST-00051","Client_Hash_0d59ee24cd27be10","usr_3979df349ce2da66@anon.sme","Manchester","Gold","2024-01-15 10:00:00"
52,"CUST-00052","Client_Hash_0ba628b8df524498","usr_8e374588d9ee0bf9@anon.sme","Manchester","Silver","2024-01-15 10:00:00"
53,"CUST-00053","Client_Hash_085995ee1ab24a4f","usr_2da49d0a7f36fab8@anon.sme","Birmingham","Silver","2024-01-15 10:00:00"
54,"CUST-00054","Client_Hash_3244bc56bce658f0","usr_90b10b1ca6f4ee8d@anon.sme","Glasgow","Platinum","2024-01-15 10:00:00"
55,"CUST-00055","Client_Hash_7fa1ed14924ddb3d","usr_b0a51d1cd4acace5@anon.sme","London","Standard","2024-01-15 10:00:00"
56,"CUST-00056","Client_Hash_ab267f19af18ac8a","usr_d571d29274263f98@anon.sme","Birmingham","Standard","2024-01-15 10:00:00"
57,"CUST-00057","Client_Hash_0e6dfaacc535466d","usr_6ebff4ff94d29c35@anon.sme","Edinburgh","Standard","2024-01-15 10:00:00"
58,"CUST-00058","Client_Hash_1a70d7fa20bdc9d9","usr_b30c846f767d6526@anon.sme","Bristol","Gold","2024-01-15 10:00:00"
59,"CUST-00059","Client_Hash_3b806ee3b17c751b","usr_037a76114690eee7@anon.sme","Glasgow","Silver","2024-01-15 10:00:00"
60,"CUST-00060","Client_Hash_0bbf6beb49e4fc2c","usr_f69da2390ac4d55c@anon.sme","Leeds","Silver","2024-01-15 10:00:00"
61,"CUST-00061","Client_Hash_67a6eb649cccc618","usr_94e62ac0e4c1075f@anon.sme","London","Platinum","2024-01-15 10:00:00"
62,"CUST-00062","Client_Hash_befc530f6daf4a8d","usr_3194dde1b794a79b@anon.sme","Bristol","Standard","2024-01-15 10:00:00"
63,"CUST-00063","Client_Hash_bc000079a0fc0155","usr_76ba5414f11f3618@anon.sme","London","Standard","2024-01-15 10:00:00"
64,"CUST-00064","Client_Hash_c9f7cd697c027267","usr_ed1b227c41178a38@anon.sme","Birmingham","Platinum","2024-01-15 10:00:00"
65,"CUST-00065","Client_Hash_37f9ddfbe84e61b7","usr_06a61aca9400bf9b@anon.sme","Manchester","Standard","2024-01-15 10:00:00"
66,"CUST-00066","Client_Hash_fc3bc67b313537c8","usr_effde487f6068a76@anon.sme","Edinburgh","Standard","2024-01-15 10:00:00"
67,"CUST-00067","Client_Hash_1509b2ea01c180ec","usr_867608fe29eadab4@anon.sme","Glasgow","Gold","2024-01-15 10:00:00"
68,"CUST-00068","Client_Hash_e1e1cdd2c1cbe3db","usr_083b38a934f54931@anon.sme","Bristol","Platinum","2024-01-15 10:00:00"
69,"CUST-00069","Client_Hash_7926e29f66e2ec1a","usr_8c51fc4a1489b2c3@anon.sme","Leeds","Standard","2024-01-15 10:00:00"
70,"CUST-00070","Client_Hash_cb3be7110bbb4fe6","usr_760d918e4acb676d@anon.sme","Leeds","Gold","2024-01-15 10:00:00"
71,"CUST-00071","Client_Hash_3e52a7a38c70cf8c","usr_fe5a4bd420d17151@anon.sme","London","Gold","2024-01-15 10:00:00"
72,"CUST-00072","Client_Hash_1812ac8adc45f49f","usr_c75e6bd416012779@anon.sme","Edinburgh","Silver","2024-01-15 10:00:00"
73,"CUST-00073","Client_Hash_3afa8a4d21c06835","usr_836a850648128cc2@anon.sme","Manchester","Silver","2024-01-15 10:00:00"
74,"CUST-00074","Client_Hash_e8d618b8ddc1f0ab","usr_db3960317647f670@anon.sme","Bristol","Silver","2024-01-15 10:00:00"
75,"CUST-00075","Client_Hash_21887a0ed656bc2d","usr_223aafae595aa297@anon.sme","Edinburgh","Gold","2024-01-15 10:00:00"
76,"CUST-00076","Client_Hash_954e6e10c90783f5","usr_05eb9b5e61acb4b2@anon.sme","Bristol","Standard","2024-01-15 10:00:00"
77,"CUST-00077","Client_Hash_a75882e0b25f0309","usr_458db665987c30f3@anon.sme","Birmingham","Standard","2024-01-15 10:00:00"
78,"CUST-00078","Client_Hash_fea02b504ad52edb","usr_eece92355afa83a8@anon.sme","Bristol","Standard","2024-01-15 10:00:00"
79,"CUST-00079","Client_Hash_97b2c0f1e2e72cdc","usr_03074df0e499877f@anon.sme","London","Silver","2024-01-15 10:00:00"
80,"CUST-00080","Client_Hash_ec4583f7aa225114","usr_82bf1d7e258aee0d@anon.sme","Leeds","Silver","2024-01-15 10:00:00"
81,"CUST-00081","Client_Hash_a844e7a8f2706d91","usr_a9a8ec5876827b32@anon.sme","Glasgow","Platinum","2024-01-15 10:00:00"
82,"CUST-00082","Client_Hash_3aac219ec3000707","usr_425f6bf1bab26ea5@anon.sme","Bristol","Gold","2024-01-15 10:00:00"
83,"CUST-00083","Client_Hash_b35885050dd00464","usr_39752cde0158370a@anon.sme","Bristol","Silver","2024-01-15 10:00:00"
84,"CUST-00084","Client_Hash_034bf6bb733cb41c","usr_040a498f3d3123bb@anon.sme","Birmingham","Platinum","2024-01-15 10:00:00"
85,"CUST-00085","Client_Hash_410822a1afd93add","usr_5e9cda79ea0e10f7@anon.sme","Bristol","Gold","2024-01-15 10:00:00"
