posting_id,posting_date,date_key,account_code,account_name,account_type,entry_type,amount,currency,reference
1,"2024-10-05",20241005,"COGS-200","Third-Party Infrastructure","COGS","Debit",3561.83,"GBP","GL-2025-000001"
2,"2024-10-03",20241003,"OPEX-400","Software Subscriptions & Cloud","Expense","Debit",1775.01,"GBP","GL-2025-000002"
3,"2026-02-01",20260201,"OPEX-200","Office Lease & Utilities","Expense","Debit",1660.29,"GBP","GL-2025-000003"
4,"2025-04-17",20250417,"COGS-200","Third-Party Infrastructure","COGS","Debit",1780.55,"GBP","GL-2025-000004"
5,"2026-01-14",20260114,"OPEX-300","Marketing & Advertising","Expense","Debit",1945.96,"GBP","GL-2025-000005"
6,"2025-05-05",20250505,"COGS-200","Third-Party Infrastructure","COGS","Debit",4732.54,"GBP","GL-2025-000006"
7,"2026-03-16",20260316,"COGS-200","Third-Party Infrastructure","COGS","Debit",3643.89,"GBP","GL-2025-000007"
8,"2025-08-03",20250803,"OPEX-200","Office Lease & Utilities","Expense","Debit",3494.78,"GBP","GL-2025-000008"
9,"2024-12-07",20241207,"TAX-100","Corporate & VAT Tax","Tax","Debit",2005.87,"GBP","GL-2025-000009"
10,"2024-04-06",20240406,"OPEX-400","Software Subscriptions & Cloud","Expense","Debit",1452.32,"GBP","GL-2025-000010"
11,"2024-05-06",20240506,"REV-200","Services Revenue","Revenue","Credit",591.66,"GBP","GL-2025-000011"
12,"2024-01-18",20240118,"OPEX-100","Salaries & Payroll","Expense","Debit",1739.46,"GBP","GL-2025-000012"
13,"2026-06-02",20260602,"REV-200","Services Revenue","Revenue","Credit",3829.22,"GBP","GL-2025-000013"
14,"2024-03-21",20240321,"REV-200","Services Revenue","Revenue","Credit",2954.07,"GBP","GL-2025-000014"
15,"2025-12-11",20251211,"OPEX-300","Marketing & Advertising","Expense","Debit",4714.8,"GBP","GL-2025-000015"
16,"2026-01-01",20260101,"OPEX-200","Office Lease & Utilities","Expense","Debit",1620.76,"GBP","GL-2025-000016"
17,"2024-10-21",20241021,"COGS-200","Third-Party Infrastructure","COGS","Debit",4927.74,"GBP","GL-2025-000017"
18,"2026-06-04",20260604,"OPEX-200","Office Lease & Utilities","Expense","Debit",3760.6,"GBP","GL-2025-000018"
19,"2024-05-17",20240517,"OPEX-100","Salaries & Payroll","Expense","Debit",2660.09,"GBP","GL-2025-000019"
20,"2025-11-02",20251102,"OPEX-200","Office Lease & Utilities","Expense","Debit",2258.7,"GBP","GL-2025-000020"
21,"2025-07-05",20250705,"REV-200","Services Revenue","Revenue","Credit",728.15,"GBP","GL-2025-000021"
22,"2024-11-03",20241103,"OPEX-400","Software Subscriptions & Cloud","Expense","Debit",3685.37,"GBP","GL-2025-000022"
23,"2024-11-04",20241104,"OPEX-100","Salaries & Payroll","Expense","Debit",2136.3,"GBP","GL-2025-000023"
24,"2026-03-04",20260304,"TAX-100","Corporate & VAT Tax","Tax","Debit",4123.19,"GBP","GL-2025-000024"
25,"2024-06-15",20240615,"COGS-200","Third-Party Infrastructure","COGS","Debit",2652.35,"GBP","GL-2025-000025"
26,"2025-02-10",20250210,"TAX-100","Corporate & VAT Tax","Tax","Debit",3884.7,"GBP","GL-2025-000026"
27,"2026-01-13",20260113,"REV-100","Operating Revenue","Revenue","Credit",144.93,"GBP","GL-2025-000027"
28,"2024-05-23",20240523,"REV-200","Services Revenue","Revenue","Credit",2776.65,"GBP","GL-2025-000028"
29,"2024-01-07",20240107,"OPEX-300","Marketing & Advertising","Expense","Debit",1128.86,"GBP","GL-2025-000029"
30,"2026-03-02",20260302,"OPEX-300","Marketing & Advertising","Expense","Debit",2922.83,"GBP","GL-2025-000030"
31,"2025-11-28",20251128,"OPEX-100","Salaries & Payroll","Expense","Debit",864.3,"GBP","GL-2025-000031"
32,"2025-03-08",20250308,"COGS-200","Third-Party Infrastructure","COGS","Debit",2492.43,"GBP","GL-2025-000032"
33,"2024-05-22",20240522,"OPEX-300","Marketing & Advertising","Expense","Debit",4861.07,"GBP","GL-2025-000033"
34,"2026-05-11",20260511,"COGS-100","Direct Material Costs","COGS","Debit",2841.43,"GBP","GL-2025-000034"
35,"2026-05-08",20260508,"REV-200","Services Revenue","Revenue","Credit",673.3,"GBP","GL-2025-000035"
36,"2024-03-19",20240319,"COGS-100","Direct Material Costs","COGS","Debit",1855.98,"GBP","GL-2025-000036"
37,"2024-01-30",20240130,"TAX-100","Corporate & VAT Tax","Tax","Debit",1308.82,"GBP","GL-2025-000037"
38,"2026-01-06",20260106,"OPEX-300","Marketing & Advertising","Expense","Debit",4020.14,"GBP","GL-2025-000038"
39,"2026-03-16",20260316,"REV-100","Operating Revenue","Revenue","Credit",2337.19,"GBP","GL-2025-000039"
40,"2024-10-30",20241030,"OPEX-300","Marketing & Advertising","Expense","Debit",149.3,"GBP","GL-2025-000040"
41,"2024-10-09",20241009,"OPEX-300","Marketing & Advertising","Expense","Debit",4403.96,"GBP","GL-2025-000041"
42,"2026-01-02",20260102,"REV-100","Operating Revenue","Revenue","Credit",1602.02,"GBP","GL-2025-000042"
43,"2026-03-08",20260308,"REV-100","Operating Revenue","Revenue","Credit",3340.59,"GBP","GL-2025-000043"
44,"2026-02-01",20260201,"COGS-100","Direct Material Costs","COGS","Debit",793.72,"GBP","GL-2025-000044"
45,"2024-09-29",20240929,"OPEX-200","Office Lease & Utilities","Expense","Debit",1729.12,"GBP","GL-2025-000045"
46,"2025-01-18",20250118,"REV-200","Services Revenue","Revenue","Credit",2450.51,"GBP","GL-2025-000046"
47,"2026-01-24",20260124,"TAX-100","Corporate & VAT Tax","Tax","Debit",3835.56,"GBP","GL-2025-000047"
48,"2026-03-27",20260327,"OPEX-400","Software Subscriptions & Cloud","Expense","Debit",1003.04,"GBP","GL-2025-000048"
49,"2024-01-24",20240124,"REV-100","Operating Revenue","Revenue","Credit",1760.54,"GBP","GL-2025-000049"
50,"2026-05-26",20260526,"OPEX-200","Office Lease & Utilities","Expense","Debit",290.22,"GBP","GL-2025-000050"
51,"2024-08-12",20240812,"OPEX-200","Office Lease & Utilities","Expense","Debit",1412.17,"GBP","GL-2025-000051"
52,"2025-07-15",20250715,"REV-100","Operating Revenue","Revenue","Credit",1785.9,"GBP","GL-2025-000052"
53,"2025-09-25",20250925,"OPEX-200","Office Lease & Utilities","Expense","Debit",519.03,"GBP","GL-2025-000053"
54,"2024-06-28",20240628,"OPEX-300","Marketing & Advertising","Expense","Debit",4646.68,"GBP","GL-2025-000054"
55,"2024-05-28",20240528,"OPEX-100","Salaries & Payroll","Expense","Debit",633.44,"GBP","GL-2025-000055"
56,"2026-02-16",20260216,"OPEX-400","Software Subscriptions & Cloud","Expense","Debit",4193.54,"GBP","GL-2025-000056"
57,"2024-05-04",20240504,"REV-200","Services Revenue","Revenue","Credit",2724.96,"GBP","GL-2025-000057"
58,"2025-11-03",20251103,"COGS-100","Direct Material Costs","COGS","Debit",270.99,"GBP","GL-2025-000058"
59,"2024-01-17",20240117,"OPEX-200","Office Lease & Utilities","Expense","Debit",3740.67,"GBP","GL-2025-000059"
60,"2025-08-21",20250821,"REV-100","Operating Revenue","Revenue","Credit",517.66,"GBP","GL-2025-000060"
61,"2025-01-12",20250112,"OPEX-200","Office Lease & Utilities","Expense","Debit",4432.61,"GBP","GL-2025-000061"
62,"2024-11-10",20241110,"OPEX-400","Software Subscriptions & Cloud","Expense","Debit",4940.58,"GBP","GL-2025-000062"
63,"2025-04-29",20250429,"OPEX-100","Salaries & Payroll","Expense","Debit",2750.76,"GBP","GL-2025-000063"
64,"2024-08-25",20240825,"COGS-200","Third-Party Infrastructure","COGS","Debit",2725.85,"GBP","GL-2025-000064"
