hr_metric_id,month,date_key,department,headcount,avg_salary,avg_performance_score,total_training_hours,turnover_rate
1,"2024-01",20240101,"Sales & Marketing",10,39571,4,107.5,0.035
2,"2024-02",20240201,"Sales & Marketing",20,45275,4.4,144.2,0.015
3,"2024-03",20240301,"Sales & Marketing",14,42973,4.1,183.3,0.025
4,"2024-04",20240401,"Sales & Marketing",16,46180,4.5,306,0.032
5,"2024-05",20240501,"Sales & Marketing",18,46502,3.5,555.8,0.012
6,"2024-06",20240601,"Sales & Marketing",12,51379,4.3,206.1,0.035
7,"2024-07",20240701,"Sales & Marketing",18,54706,4.9,269.6,0.018
8,"2024-08",20240801,"Sales & Marketing",24,45218,4.3,115.6,0.036
9,"2024-09",20240901,"Sales & Marketing",14,40138,4.2,410.6,0.034
10,"2024-10",20241001,"Sales & Marketing",16,47032,5,438.8,0.022
11,"2024-11",20241101,"Sales & Marketing",22,44196,4.1,189,0.026
12,"2024-12",20241201,"Sales & Marketing",23,48260,4.3,803.1,0.026
13,"2025-01",20250101,"Sales & Marketing",11,35854,4.6,144.4,0.034
14,"2025-02",20250201,"Sales & Marketing",18,45011,3.6,358.9,0.023
15,"2025-03",20250301,"Sales & Marketing",20,40373,3.9,34.4,0.036
16,"2025-04",20250401,"Sales & Marketing",17,46599,4.2,110.8,0.019
17,"2025-05",20250501,"Sales & Marketing",16,37008,4.8,250.6,0.038
18,"2025-06",20250601,"Sales & Marketing",20,36098,3.5,140.3,0.029
19,"2025-07",20250701,"Sales & Marketing",10,54580,4.4,152.6,0.014
20,"2025-08",20250801,"Sales & Marketing",18,39731,3.7,575.7,0.025
21,"2025-09",20250901,"Sales & Marketing",13,39269,4.9,448.5,0.032
22,"2025-10",20251001,"Sales & Marketing",19,54692,3.9,456.2,0.017
23,"2025-11",20251101,"Sales & Marketing",17,49017,3.6,121.4,0.02
24,"2025-12",20251201,"Sales & Marketing",18,52811,4,62.8,0.017
25,"2024-01",20240101,"Engineering & IT",11,38873,4.5,173.8,0.02
26,"2024-02",20240201,"Engineering & IT",19,53795,3.8,753.8,0.039
27,"2024-03",20240301,"Engineering & IT",11,49564,4.4,187,0.019
28,"2024-04",20240401,"Engineering & IT",22,51136,4.8,646.9,0.034
